id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source
1180573,Data Scientist Ia F/H,Non précisé,69 - Lyon 1er Arrondissement,69001,CDI,Non précisé,0 An(s),,"
            🚀 Le poste en 3 motsInnovant. Transverse. Impactant. 🎯 Votre mission A la BU Combustible de Framatome, nos algorithmes contribuent à la performance industrielle du nucléaire, et nos data-scientists parlent autant aux métallurgistes, aux développeurs, aux mécaniciens, aux thermo-hydrauliciens, aux neutroniciens…En tant que Data Scientist IA au sein de notre service d’ingénierie, vous serez notre couteau suisse de l'intelligence artificielle. Votre terrain de jeu : faire émerger des s",2026-04-05,https://candidat.francetravail.fr/offres/recherche/detail/1180573,France Travail
1176956,Data Scientist H/F,Non précisé,92 - Issy-les-Moulineaux,92130,CDD,Non précisé,Débutant accepté,,"Tes missions :
1. Construire un véritable moteur d'analyse du trafic autoroutier
Tu seras au coeur d'un projet stratégique, avec de A à Z :
- Cadrer le projet et comprendre les besoins des décideurs
- Extraire, nettoyer et structurer les données 
- Concevoir et assembler les modèles statistiques adaptés
- Préparer une note d'analyse claire, illustrée de graphiques bien affûtés
- Mettre la solution en production pour un usage réel sur le terrain

2. Contribuer à des projets variés pour l'ensemble",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1176956,France Travail
1175432,Data Scientist (H/F),Non précisé,94 - Arcueil,94110,Libéral,Non précisé,5 An(s),,"DGTL / Signe + est le facilitateur pour tous les acteurs qui recherchent des ressources ou des missions DATA.

Spécialiste du marché Data et BI, nous intervenons dans toute la France comme à l'étranger ; en sous-traitance, pré-embauche, recrutement, portage commercial, portage salarial, etc.

Depuis 2018, nous accompagnons nos clients avec proximité, juste prix et préoccupation éthique de tous les instants.

https://www.dgtl-performance.com

Le poste : 

Site : Arcueil IDF ; 2 jrs/semaine sur si",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1175432,France Travail
1148730,Alternance - Data Scientist H/F,Non précisé,92 - Boulogne-Billancourt,92100,CDD,Non précisé,Débutant accepté,,"
              Au sein de l’équipe Machine Learning & IA, rattaché(e) au Chief Data et Ad Tech Officer, vous aurez pour missions de travailler sur des sujets data sciences variées. De la collecte des données à la modélisation en passant par les différentes étapes d’un projet data science. Vous apporterez vos connaissances dans l’exploitation de données provenant de sources variées et hétérogènes (historiques utilisateurs, bases CRM, metadata, …). Également, vous aurez pour mission de concevoir e",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1148730,France Travail
1148505,Annonce Générique - Apprentissage – Data Scientist (F/H),Non précisé,78 - Versailles,78000,CDD,Non précisé,0 An(s),,"
            Au sein de Dassault Systèmes, nos équipes R&D proposent des sujets d’apprentissage au sein de leurs équipes. Chaque équipe peut être dédiée à un produit (CATIA, SIMULIA, ENOVIA, etc.) ou un laboratoire de Recherche.

 

Vos missions

 

Durant votre apprentissage, voici le type de sujets sur lesquels vous travaillerez :

 


	Ingénieur Machine Learning - Optimisation d’un parc de serveurs (F/H)
	Data Scientist - Méthodes probabilistes non supervisées pour l’extraction de bases de co",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1148505,France Travail
1148426,Data Scientist Ia F/H,Non précisé,69 - Lyon 1er Arrondissement,69001,CDI,Non précisé,0 An(s),,"
            🚀 Le poste en 3 motsInnovant. Transverse. Impactant. 🎯 Votre mission A la BU Combustible de Framatome, nos algorithmes contribuent à la performance industrielle du nucléaire, et nos data-scientists parlent autant aux métallurgistes, aux développeurs, aux mécaniciens, aux thermo-hydrauliciens, aux neutroniciens…En tant que Data Scientist IA au sein de notre service d’ingénierie, vous serez notre couteau suisse de l'intelligence artificielle. Votre terrain de jeu : faire émerger des s",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1148426,France Travail
1147970,Data Scientist Roboticien (H/F),Non précisé,13 - Puy-Sainte-Réparade,13610,CDI,Non précisé,5 An(s),,"Vos tâches   Pour renforcer notre équipe d'innovation en robotique et intelligence artificielle, nous recherchons un Data Scientist Roboticien talentueux et passionné. Au sein de notre Practice Data & AI, vous contribuerez au développement de solutions avancées combinant la science des données, l'intelligence artificielle et la robotique. Vos principales responsabilités seront :  Concevoir et développer des algorithmes d'apprentissage automatique et d'intelligence artificielle pour divers types ",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1147970,France Travail
1147959,Senior Consultant - Product Data Scientist (H/F),Non précisé,92 - Nanterre,92000,CDI,Non précisé,Débutant accepté,,"Description de l'entrepriseEn 2025, Wivoo (référence du Product Management & Data/IA) a rejoint Wavestone pour fusionner puissance stratégique et excellence opérationnelle.Des expert·es passionné·es et orienté·es solutions, qui placent l’humain au cœur de la performance et de la croissance. Nous renforçons notre expertise pour transformer les actifs data en leviers de valeur concrets. Nous développons sans cesse notre portefeuille de clients et de projets, avec une portée internationale et une r",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1147959,France Travail
1147878,Data Scientist - Alternance (H/F),Non précisé,92 - Issy-les-Moulineaux,92130,Mission intérimaire,Non précisé,Débutant accepté,,"Vos tâches    Vous intégrerez l’équipe R&D du SogetiLabs constituée de chercheurs et d'experts en IA qui interviennent sur des secteurs variés.    Dans ce cadre, vous travaillerez au sein de l'une de nos équipes de recherche et participerez au développement de solutions d’IA innovantes appliquées à des problématiques concrètes sur des secteurs variés (ex : détection précoce du cancer du sein, détection d'objets pour véhicules autonomes, développement d'interprètes de la langue des signes au lang",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1147878,France Travail
1147804,Annonce Générique - – Data Scientist (H/F),Non précisé,78 - Versailles,78000,Mission intérimaire,Non précisé,Débutant accepté,,"Imaginez demain …Au sein de Dassault Systèmes, nos équipes R&D proposent des sujets d’apprentissage au sein de leurs équipes. Chaque équipe peut être dédiée à un produit (CATIA, SIMULIA, ENOVIA, etc) ou un laboratoire de Recherche. Vos futurs défis …En tant que futur.e stagiair.e, voici le type de sujets sur lesquels vous seriez amené.e à travailler : « Machine Learning - Optimisation d’un parc de serveurs »« Data Scientist - Méthodes probabilistes non supervisées pour l’extraction de bases de c",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1147804,France Travail
1147795,Annonce Générique - Apprentissage – Data Scientist (H/F),Non précisé,78 - Versailles,78000,Mission intérimaire,Non précisé,Débutant accepté,,"Au sein de Dassault Systèmes, nos équipes R&D proposent des sujets d’apprentissage au sein de leurs équipes. Chaque équipe peut être dédiée à un produit (CATIA, SIMULIA, ENOVIA, etc.) ou un laboratoire de Recherche. Vos tâches Durant votre apprentissage, voici le type de sujets sur lesquels vous travaillerez : Ingénieur Machine Learning - Optimisation d’un parc de serveurs (F/H)Data Scientist - Méthodes probabilistes non supervisées pour l’extraction de bases de connaissances à partir de langage",2026-04-04,https://candidat.francetravail.fr/offres/recherche/detail/1147795,France Travail
