id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source
TyR5RQwRf3uyTAvOAAAAAA==,Offre N° 1951767 Data Analyst (H/F),France Travail,,,Stage,None - None,Non précisé,,"Description du poste : En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums. L'entreprise EDF recherche actuellement des profils Exprimez votre potentiel au sein d'un groupe engagé pour un avenir durable.

Chez EDF, chaque énergie compte. En rejoignant notre entreprise, vous intégrez un collectif où cha",2026-04-25,https://bebee.com/fr/jobs/offre-n-1951767-data-analyst-france-travail--techmap_fr_1951767,JSearch/Indeed
jRO3gDOJnfqAIIg9AAAAAA==,Offre D'Alternance : Data Analyst (H/F),Arundo Re,Paris,,Prestataire,None - None,Non précisé,,"L’alternant(e) Data Analyst aura pour mission de contribuer, au sein du Pôle Data & Visualisation, à l’analyse, à la modélisation et à la restitution des données pour les directions métiers.
lI/elle interviendra en collaboration avec les Data Engineers et les équipes métiers afin de transformer les données disponibles
en indicateurs exploitables et en supports d’aide à la décision.
Ses principales activités se déclinent comme suit:
Analyse des besoins métiers
• Recueillir et formaliser les besoi",2026-04-08,https://www.welcometothejungle.com/fr/companies/arundo-re/jobs/data-analyste-h-f_paris,JSearch/Indeed
Dj7wKzn-KF8AukKCAAAAAA==,Stage Data Analyst F/H,Orange SA,Arcueil,,Stage,None - None,Non précisé,,"Date de publication : Apr 20, 2026, 1:12PM
Rejoignez nous en tant que stagiaire Data Analyste, où vous aurez l’opportunité de contribuer à des projets stratégiques et variés au sein de notre équipe.
L’objectif est d’enrichir la connaissance et la maitrise de nos parcours de Commande Livraison des offres Fibre.
Vos missions :
Vous travaillerez à enrichir des analyses et des rapports déjà en place et à les faire évoluer en lien avec des projets livrés (nouvelles données, nouveaux processus….)

Vou",2026-04-29,https://orange.jobs/fr/fr/job/CTS-2025-46928/Stage-Data-Analyst-F-H,JSearch/Indeed
q3r-4jiNOvSU-WS8AAAAAA==,Data Scientist / Machine Learning Engineer – Ia & Data Innovation,AVA2I,,,À plein temps et Prestataire,None - None,Non précisé,,"Au sein d’une direction dédiée à la couverture clients et à l’investissement, vous rejoignez une équipe en charge de la performance commerciale et de l’optimisation de la relation client.
• L’objectif est de maximiser la valeur des portefeuilles clients en combinant :
• analyse stratégique

• allocation des ressources

• accompagnement opérationnel des équipes commerciales

Dans ce cadre, l’équipe Data & Innovation renforce ses capacités pour mettre la Data et l’Intelligence Artificielle au serv",2026-04-29,https://www.free-work.com/fr/tech-it/data-scientist/job-mission/data-scientist-machine-learning-engineer-ia-data-innovation,JSearch/Indeed
AXmcoymzGf50edQQAAAAAA==,"Machine Learning Engineer | Paris, Fr",Sia,Paris,,À plein temps,None - None,Non précisé,,"Machine Learning Engineer

{""description"": "" Description de l'entreprise 

Sia est un groupe international de conseil en management de nouvelle g\u00e9n\u00e9ration, fond\u00e9 en 1999. N\u00e9s \u00e0 l'\u00e8re du digital, nous sommes augment\u00e9s par la data, enrichis par la cr\u00e9ativit\u00e9 et guid\u00e9s par la responsabilit\u00e9. Nous collaborons avec nos clients pour relever les d\u00e9fis et saisir les opportunit\u00e9s. Dans un monde en pleine mutation, nous croyons que l'opt",2026-04-25,https://www.efinancialcareers.fr/emploi-France-Paris-Machine_Learning_Engineer.id24174438,JSearch/Indeed
lGLilXQEOU97allKAAAAAA==,Ingénieur(E) Ia Machine Learning (H/F/X),EQUANS SERVICES LIMITED,Courbevoie,,À plein temps,None - None,Non précisé,,"EQUANS France - À la recherche d'un nouveau talent !

EQUANS France, filiale du Groupe Bouygues, recherche un(e)

Ingénieur(e) IA Machine Learning (H/F/X)

Où : Nantes (proche de la gare) ou Courbevoie (proche de l'Esplanade de la Défense)

Contrat : CDI à temps plein (37H/semaine), Cadre, Convention collective du Bâtiment

Télétravail : à hauteur de 2 jours par semaine

Qui sommes-nous ?

Avec plus de 35 500 collaborateurs, un chiffre d'affaires de 6,8 milliards d'euros et un réseau de 700 agen",2026-04-26,https://lesjeudis.com/fr/job/ingenieure-ia-machine-learning-hfx-423691,JSearch/Indeed
CFULF3iJTuwYYbPKAAAAAA==,Machine Learning & Computer Vision Engineer,Exotec,Lille,,À plein temps,None - None,Non précisé,,"Chez Exotec, nous mettons l’excellence technologique au service de la redéfinition des relations entre humains et robots. A travers le monde, nos solutions révolutionnent la façon dont nos client·e·s délivrent leurs produits aux personnes consommatrices finales. Nous contribuons au succès des plus grandes marques du commerce et de l’industrie, tout en améliorant les conditions de travail de leurs salarié·e·s.
Par l’alliance de l’intelligence artificielle et d’un hardware performant, nos robots s",2026-04-25,https://careers.exotec.com/_/j/7AA5B39884,JSearch/Indeed
fdTfMJCeSbc5GTzqAAAAAA==,Offre N° 1933405 Data Scientist Machine Learning / Deep Learning Aix En Provence/La (It) / Freelance (H/F),France Travail,Aix-en-Provence,,Prestataire,None - None,Non précisé,,"Data Scientist Machine Learning / Deep Learning Aix ASAP Expérience +2 ans sur l'IA Gen : prompt engineering, context engineering, construction de workflow avec RAG, tool calling, MCP, implémentation de guardrails. Pandas, Jupyter Notebook, Scikit-learn, Numpy, Streamlit - Expérience significative en Machine/Deep Learning (traitement du langage naturel, traduction automatique, etc.), Vision (vision par ordinateur, reconnaissance, etc.), et sur le cycle de vie des modèles IA (de la conception ver",2026-04-24,https://bebee.com/fr/jobs/offre-n-1933405-data-scientist-machine-learning-deep-learning-aix-en-provence-la-it-freelance-france--techmap_fr_1933405,JSearch/Indeed
SBeyPn9YVR-V0uFCAAAAAA==,Machine Learning And Ai Apprentice,SLB,Clamart,,À temps partiel et Stage,None - None,Non précisé,,"Position Summary:
SLB is seeking a passionate and skilled Machine Learning and AI Apprentice to join our dynamic Reservoir Performance BI team. This apprenticeship provides an opportunity to work on cutting-edge projects and gain hands-on experience in machine learning, generative AI, data science, and artificial intelligence. The apprentice will collaborate with our expert team of data scientists and AI engineers, contributing to innovative solutions that drive business growth and technological",2026-04-27,https://www.jobteaser.com/fr/job-offers/5b3a8ac4-df24-41ec-b71a-f411c43a28be-slb-machine-learning-and-ai-apprentice,JSearch/Indeed
OlCMry8Y__rfw5-iAAAAAA==,Machine Learning,Exotec,Lille,,À plein temps,None - None,Non précisé,,"Chez Exotec, nous mettons l'excellence technologique au service de la redéfinition des relations entre humains et robots. A travers le monde, nos solutions révolutionnent la façon dont nos client·e·s délivrent leurs produits aux personnes consommatrices finales. Nous contribuons au succès des plus grandes marques du commerce et de l'industrie, tout en améliorant les conditions de travail de leurs salarié·e·s.

Par l'alliance de l'intelligence artificielle et d'un hardware performant, nos robots ",2026-04-27,https://fr.trabajo.org/offre-4112-b9b4bd8ddbd2a8126c76314cc7bec78c,JSearch/Indeed
