id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,description,date_publication,url,source,scraped_at
d59343d51d1e95252bccc4ef8e8afc9e,Ai Backend Engineer (F/M/D),paretos GmbH,Heidelberg,,CDI,,,Software Development,"paretos is the leading AI-based Decision Intelligence platform for effective, data-driven decisions across entire enterprises. Our Business Agents make it possible to evaluate complex data volumes, predict scenarios, and derive optimal actions — from demand forecasting and replenishment to strategic C-level decisions. All through a code-free interface, with no prior data science knowledge required. paretos is an inclusive company with equal opportunities for all. Our cult",1970-01-01,https://www.arbeitnow.com/jobs/companies/paretos-gmbh/ai-backend-engineer-heidelberg-233373,arbeitnow,2026-05-05T11:49:53.155813+00:00
45fb05f64def8127ca802ecf3454062b,"Bi Platform & Data Automation Engineer(M/W/D) - Powerbi, Power Automate & Microsoft Fabric",loyos bi GmbH,Hamburg,,REMOTE,,,"Remote, IT","loyos bi ist ein wachsendes SaaS-Unternehmen aus Hamburg. Unsere Financial Management Suite und HR Reporting Suite auf Basis von Microsoft Power BI ermöglichen es Unternehmen, Finanz- und HR-Daten klar, verständlich und visuell modern auszuwerten. Mit viel Gestaltungsfreiheit, wenig Hierarchien und echter Begeisterung für Technologie bauen wir ein Unternehmen, das datengetriebene Entscheidungen ermöglicht – pragmatisch, effizient und zukunftsgerichtet. Wir arbeiten remote-first und bie",1970-01-01,https://www.arbeitnow.com/jobs/companies/loyos-bi-gmbh/bi-platform-data-automation-engineer-powerbi-power-automate-microsoft-fabric-hamburg-108979,arbeitnow,2026-05-05T11:49:53.155813+00:00
568c9cabff3d134871ba7b31ab081af5,Grafikdesigner (M/W/X),Kernenergie GmbH,Großwallstadt,,CDI,,,Graphic Arts and Communication Design,"Wer wir sind: KERNenergie – saubere Energie aus nachwachsenden Rohstoffen! Kein Spruch der Atomlobby, sondern unser Auftrag für einen individuellen Mix aus Nüssen, Kernen und Früchten. KERNenergie ist Deutschlands exklusiver Anbieter für Nüsse aus den besten Anbaugebieten der Welt. Wir suchen in Voll- oder Teilzeit mit mind. 30 Stunden/Woche einen Grafikdesigner (m/w/x) – Schwerpunkt eCommerce – Meta, Google &#x26; Amazon Aufgaben En",1970-01-01,https://www.arbeitnow.com/jobs/companies/kernenergie-gmbh/grafikdesigner-grosswallstadt-34221,arbeitnow,2026-05-05T11:49:53.155813+00:00
fa68c8d67898d1b53ed6eb92853a6625,Hr Business Partner (M/F/D),EVIDENT Europe GmbH,Hamburg,,CDI,,,"Directors, Chief Executives","Headquartered in Tokyo, Japan, Evident employs around 4,500 people at a total of 57 locations worldwide. Evident Europe, headquartered in Hamburg, Germany, employs approximately 770 people in 16 countries. The product portfolio includes a wide range of microscope systems used in clinical diagnostics, medical and basic research, as well as in various industrial areas. In addition, Evident offers videoscopes, products for non-destructive testing techniques and for X-ray fluorescence analysis.</",1970-01-01,https://www.arbeitnow.com/jobs/companies/evident-europe-gmbh/hr-business-partner-hamburg-142391,arbeitnow,2026-05-05T11:49:53.155813+00:00
a7b9cc8361a047e3c9c32801124ead83,Mitarbeiter*In Marketing,Hof Löbke GmbH & Co. KG,Ibbenbüren,,CDI,,,Marketing and Communication,"DAS SIND WIR Der Hof Löbke ist ein kreatives, innovatives Familienunternehmen. Seit den 80er Jahren sind wir im Obst-/Gemüseanbau tätig und haben den Hof in den vergangenen 40 Jahren – mit Hilfe unserer geschätzten Mitarbeiter*innen – zu dem gemacht, was er heute ist: ein überregional bekannter QS-zertifizierter Obstbaufachbetrieb mit Hof-Manufaktur, Hof-Laden, Hof-Restaurant &#x26; Café, Hof-Backstube, Hof-Spielpark, Alpaka-Zucht, un",1970-01-01,https://www.arbeitnow.com/jobs/companies/hof-lobke-gmbh-co-kg/mitarbeiterin-marketing-ibbenburen-237610,arbeitnow,2026-05-05T11:49:53.155813+00:00
d4d57eb9dc31aa0449c05b72eef1861e,Sap Berater (M/W/D),JetztJob,Hamburg,,CDI,,,Business Consulting,"Jobbeschreibung SAP Berater (m/w/d) Für ein hanseatisches Unternehmen im Herzen der Hamburger Altstadt wird ein erfahrener SAP Berater (m/w/d) im Bereich Archivierung gesucht. Die Position bietet Ihnen ein modernes Arbeitsumfeld, ein kollegiales Team und vielfältige Entwicklungsmöglichkeiten in einem innovativen SAP-Nischenprodukt. Ihre Vorteile Unbefristeter Vertrag: Sicherheit in einem etablierten Unternehmen <li",1970-01-01,https://www.arbeitnow.com/jobs/companies/jetztjob/sap-berater-hamburg-427415,arbeitnow,2026-05-05T11:49:53.155813+00:00
723ed59e82f03682d781bf3dd8f9d7d3,Individualkundenberater (M/W/D) Kopfstellenfiliale Neureut Mit Einem Arbeitszeitumfang Von 85% Bis 100%,Sparkasse Karlsruhe,Karlsruhe,,CDI,,,Finance,"Mit einer Bilanzsumme von über 12 Mrd. €, ca. 1.300 Mitarbeitenden und einer über 213-jährigen Unternehmensgeschichte sind wir eines der größten und das älteste selbstständige Finanzdienstleistungsinstitut unserer Region. Gemessen an der Bilanzsumme ist die Sparkasse Karlsruhe die fünftgrößte Sparkasse in Baden-Württemberg und gehört zu den 25 größten Sparkassen in Deutschland. Wir überzeugen unsere Kunden vor Ort und digital mit individueller Beratung und bestem Service. Unser Erfolg",1970-01-01,https://www.arbeitnow.com/jobs/companies/sparkasse-karlsruhe/individualkundenberater-kopfstellenfiliale-neureut-mit-einem-arbeitszeitumfang-von-85-bis-100-karlsruhe-474017,arbeitnow,2026-05-05T11:49:53.155813+00:00
a21784b371e64c84bac8d9e944de9afd,Sachbearbeiter (W/M/D) Lohnbuchhaltung,"Wolfarth, Willems & Kollegen Steuerberatungs GmbH",Moers,,CDI,,,Administration,"Wir sind eine Steuerberatungsgesellschaft mit Hauptsitz in Moers mit einem stetig wachsenden Mandantenstamm. Schwerpunktmäßig betreuen wir Mandanten aus dem Bereich Medizin- und Heilberufe, aber auch andere Branchen sind bei uns selbstverständlich vertreten. Sechs Steuerberater und über 50 Mitarbeiter sorgen für die qualifizierte und kompetente Betreuung unserer Mandanten. Aufgaben Erstellung und Abwicklung der monatlichen Lohn- und Gehaltsabrechnungen für unsere Mandant",1970-01-01,https://www.arbeitnow.com/jobs/companies/wolfarth-willems-kollegen-steuerberatungs-gmbh/sachbearbeiter-lohnbuchhaltung-moers-363361,arbeitnow,2026-05-05T11:49:53.155813+00:00
c7c7541be8d1c6183f97c9c58d113615,Junior Projektmanager (M/W/D) / Pos-Erfahrung & Handels-Experience Von Vorteil,REVO GmbH,Cologne,,CDI,,,Marketing and Communication,"Namhafte Kunden. Lebendige Marken. Projekte, die man wirklich sieht – im Laden, am Regal, direkt beim Menschen. Du bringst erste echte Erfahrung mit, denkst strukturiert und willst mehr als nur mitlaufen. Dann bist du bei uns richtig. Was du bei uns vorfindest: Spannende Projekte für namhafte Kunden mit echter Sichtbarkeit am POS. Eigenverantwortliches Arbeiten und die Chance, eigene Ideen einzubringen und umzusetzen. KI-optimierte Prozesse, die dir Routi",1970-01-01,https://www.arbeitnow.com/jobs/companies/revo-gmbh/junior-projektmanager-pos-erfahrung-handels-experience-von-vorteil-cologne-308333,arbeitnow,2026-05-05T11:49:53.155813+00:00
a87d739569bdfac7a1a7d8dda0cdc917,Training Operations Intern / Werkstudent:In,Bots and People Product GmbH,Berlin,,REMOTE,,,"Remote, Business Operations","Hi there, if you genuinely love project planning and management, live and breathe Excel, and want to use AI to automate the work you do every day, keep on reading :) You will help diligently run the operational backbone of how Bots &#x26; People delivers trainings. That means planning sessions with our trainer network, keeping projects on track, sending out purchase orders, and checking invoices. The part most people would find dry is the part you will actually enjoy, because you like",1970-01-01,https://www.arbeitnow.com/jobs/companies/bots-and-people-product-gmbh/training-operations-intern-werkstudentin-berlin-61014,arbeitnow,2026-05-05T11:49:53.155813+00:00
