id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
it-rollout-rechenzentrum-techniker-dresden-79531,It-Rollout-/ Rechenzentrum-Techniker,ITconfig/all GmbH,Dresden,,CDI,Non précisé,Non précisé,Helpdesk,Helpdesk,"<p>Für ein groß angelegtes Hardware-Rollout-Projekt im Rechenzentrumsumfeld suchen wir mehrere IT-Techniker (m/w/d). Im Fokus stehen die Vorbereitung, der Transport sowie der fachgerechte Einbau von Server- und Storage-Systemen in einer hochverfügbaren Infrastruktur.</p>
<h2>Aufgaben</h2>
<ul>
<li>Vorbereitung, Staging und Grundkonfiguration neuer Hardware am Projektstandort</li>
<li>Auspacken, Inventarisierung und technische Erstprüfung der Systeme</li>
<li>Vergabe von Management-IP-Adressen un",1777474883,https://www.arbeitnow.com/jobs/companies/itconfigall-gmbh/it-rollout-rechenzentrum-techniker-dresden-79531,Arbeitnow
business-analyst-mit-schwerpunkt-ux-munich-352111,Business Analyst Mit Schwerpunkt Ux,Envidual,Munich,,CDI,Non précisé,Non précisé,Business Analyst,Business Analyst,"<p><strong>Design trifft Code, Code trifft Impact:</strong> Wir bauen digitale Produkte, die die Zukunft gestalten.</p>
<p>Wir sind ein IT-Dienstleister aus München, der sich auf individuelle Softwarelösungen für Unternehmen mit komplexen Strukturen und Prozessen spezialisiert hat. Wir setzen auf agile Methoden und schlanke Teams, um innovative und zukunftssichere digitale Lösungen zu schaffen. Unsere Expertise umfasst diverse regulierte und komplexe Branchen wie Versicherungen, Logistik und dig",1777474883,https://www.arbeitnow.com/jobs/companies/envidual/business-analyst-mit-schwerpunkt-ux-munich-352111,Arbeitnow
teamleiter-team-lead-linux-operations-nuremberg-222921,Teamleiter / Team Lead Linux Operations (M/W/D),noris network AG,Nuremberg,,CDI,Non précisé,Non précisé,"Management, Team Leader","Management, Team Leader","<p>Die noris network AG steht für innovative, sichere und nachhaltige IT-Lösungen. Mit über 600 engagierten Mitarbeitenden entwickeln wir leistungsstarke Services in den Bereichen Cloud, Datacenter, Network &#x26; Security sowie Managed Applications – betrieben auf einer hochmodernen, mehrfach zertifizierten IT-Infrastruktur mit eigenen Hochsicherheitsrechenzentren. Seit 1993 sind wir kontinuierlich gewachsen und zählen heute zu den führenden IT-Spezialisten in Deutschland. Unser größtes Kapital",1777474883,https://www.arbeitnow.com/jobs/companies/noris-network-ag/teamleiter-team-lead-linux-operations-nuremberg-222921,Arbeitnow
technical-project-engineer-uav-systems-munich-18021,Technical Project Engineer Uav Systems,24Industries,Munich,,CDI,Non précisé,Non précisé,Project Management,Project Management,"<p><strong>WHAT WE'RE LOOKING FOR</strong></p>
<p>An engineer who takes ownership. Not a coordinator, not a status reporter — someone who stays in the technical trenches and uses project management to accelerate execution. You own two things, end-to-end: timeline visibility and project communication.</p>
<h2>Tasks</h2>
<p><strong>YOUR MISSION</strong></p>
<ul>
<li>Build and maintain Gantt-based project timelines track progress, dependencies, and slippage with precision. No surprises, ever.</li>
",1777474882,https://www.arbeitnow.com/jobs/companies/24industries/technical-project-engineer-uav-systems-munich-18021,Arbeitnow
planer-elektrotechnik-emsdetten-288059,Planer Elektrotechnik (M/W/D),PolyTALENT GmbH,Emsdetten,,CDI,Non précisé,Non précisé,IT,IT,"<h2>Jobbeschreibung</h2>
<p>PolyTALENT vermittelt direkt an ein wachstumsstarkes Unternehmen in Emsdetten, das seine Planungskompetenz im Bereich <strong>Elektrotechnik / TGA</strong> weiter ausbaut. Gesucht wird eine fachlich starke Persönlichkeit, die Projekte im Objektbau von der Planung bis zur Inbetriebnahme sicher begleitet.</p>
<h2><strong>Benefits</strong></h2>
<ul>
<li><strong>Flexible Arbeitszeiten</strong> für eine verlässliche Vereinbarkeit von Beruf und Privatleben</li>
<li><strong>",1777474882,https://www.arbeitnow.com/jobs/companies/polytalent-gmbh/planer-elektrotechnik-emsdetten-288059,Arbeitnow
ingenieurin-verfahrenstechnik-maschinenbau-garching-169994,Ingenieur:In  Verfahrenstechnik / Maschinenbau (W/M/D),Valoron GmbH,Garching,,CDI,Non précisé,Non précisé,Process Engineering,Process Engineering,"<p>Wir entwickeln thermochemische Recycling-Anlagen, die auch gemischte komplexe Abfallfraktionen (Restmüll/Hausmüll, Verbundmaterialien, etc.) stofflich recyceln können. Dazu suchen wir eine:n erfahrene:n Ingenieur:in, die/der eine zentrale Rolle beim Aufbau und der Weiterentwicklung unserer Prozesstechnologie übernimmt. Der Fokus liegt auf praktischer Umsetzung: entwickeln, aufbauen, testen, betreiben und kontinuierlich optimieren. Du übernimmst die technische Verantwortung für einen Teilproze",1777474882,https://www.arbeitnow.com/jobs/companies/valoron-gmbh/ingenieurin-verfahrenstechnik-maschinenbau-garching-169994,Arbeitnow
operativer-einkaufer-hamburg-199016,Operativer Einkäufer (M/W/D),K-tronik GmbH,Hamburg,,CDI,Non précisé,Non précisé,Sales Engineer,Sales Engineer,"<h2>Projektbeschreibung:</h2>
<p>Zur Verstärkung unseres Expertenteams bei unserem Kunden aus der Luft-und Raumfahrt Branche suchen wir einen Operativen Einkäufer (m/w/x) in Festanstellung bei K-tronik. Wir freuen uns darauf, Sie persönlich kennen zu lernen - und gemeinsam mit Leidenschaft und Teamgeist an spannenden Projekten und zukunftsweisenden Technologien zu arbeiten.</p>
<h2>Aufgaben:</h2>
<ul>
<li>Kaufmännische Betreuung von Warengruppen sowie Steuerung und Überwachung der Einkaufsprozes",1777473037,https://www.arbeitnow.com/jobs/companies/k-tronik-gmbh/operativer-einkaufer-hamburg-199016,Arbeitnow
professional-services-consultant-dusseldorf-138613,Professional Services Consultant (M/F/D),Bedford Consulting,Düsseldorf,,Remote,Non précisé,Non précisé,"Remote, Consulting, Engineering","Remote, Consulting, Engineering","<p>An exciting opportunity has opened within our Professional Services Team in the DACH region for a Professional Services Consultant role. This is a full-time position.</p>
<p>You will directly contribute to high-quality delivery, customer success, and Bedford’s reputation for excellence across EMEA.</p>
<p>You’ll act as a strategic partner to our customers, helping them modernise planning, optimise processes, and realise the full power of the Anaplan platform.</p>
<p><strong>Reports to:</stron",1777473037,https://www.arbeitnow.com/jobs/companies/bedford-consulting/professional-services-consultant-dusseldorf-138613,Arbeitnow
mitarbeiter-in-buchhaltung-emmerthal-233462,Mitarbeiter/In Buchhaltung (M/W/D),Otto Golze & Söhne GmbH,Emmerthal,,CDI,Non précisé,Non précisé,Finance,Finance,"<p>Wir sind Otto Golze &#x26; Söhne – ein traditionsreiches Familienunternehmen mit über 150 Jahren Erfahrung. Unser Sortiment reicht von Türmatten über moderne Teppiche bis hin zu Naturfaser-Bodenbelägen und Badmatten. Neben dem stationären Handel sind wir auch im Onlinegeschäft erfolgreich und vertreiben starke Marken wie JOOP! und SCHÖNER WOHNEN.</p>
<h2>Aufgaben</h2>
<p><strong>Deine Aufgaben bei uns:</strong></p>
<ul>
<li>Bearbeitung der Debitoren- und Kreditorenbuchhaltung</li>
<li>Durchfü",1777473037,https://www.arbeitnow.com/jobs/companies/otto-golze-sohne-gmbh/mitarbeiter-in-buchhaltung-emmerthal-233462,Arbeitnow
anaplan-model-builder-dusseldorf-210735,Anaplan Model Builder (M/F/D),Bedford Consulting,Düsseldorf,,Remote,Non précisé,Non précisé,"Remote, Consulting, Engineering","Remote, Consulting, Engineering","<p>An exciting opportunity has opened within our Professional Services Team in the DACH region for a Model Builder role. This is a full-time position.</p>
<p>This role is aimed at professionals working close to business processes – for example in controlling, FP&#x26;A, or data/analytics – who want to move into a consulting environment and work on how these processes are structured and implemented in systems. Experience with Anaplan or comparable platforms is a plus, not a requirement.</p>
<p><s",1777473036,https://www.arbeitnow.com/jobs/companies/bedford-consulting/anaplan-model-builder-dusseldorf-210735,Arbeitnow
freelance-senior-ai-product-manager-berlin-73613,Freelance Senior Ai Product Manager,nexamind GmbH,Berlin,,Remote,Non précisé,Non précisé,"Remote, Product Management","Remote, Product Management","<p>We’re hiring a <strong>Freelance Senior AI Product Manager</strong> to turn messy real-world problems into working GenAI solutions.<br>
This is a hands-on role at the intersection of product, delivery, and customer collaboration. You’ll work directly with users, clients, engineers, and stakeholders to scope problems, shape solutions, and ship AI products in complex, ambiguous environments.</p>
<p>You’ll own the full journey from discovery to delivery — not just the roadmap. We’re looking for ",1777473036,https://www.arbeitnow.com/jobs/companies/nexamind-gmbh/freelance-senior-ai-product-manager-berlin-73613,Arbeitnow
digital-marketing-content-werkstudentin-100-remote-mannheim-442319,Digital Marketing & Content Werkstudent:In (M/W/D) 100% Remote,ciconia Systems GmbH,Mannheim,,Remote,Non précisé,Non précisé,"Remote, Marketing Manager","Remote, Marketing Manager","<p><strong>Bock auf echten Impact im wachsenden KI-Startup?</strong><br>
Öffentliche Ausschreibungen sind ein 400-Milliarden-Euro-Markt – und einer der letzten großen Bereiche, der gerade erst digitalisiert wird. Wir sind Vergabepilot AI: Eine KI-gestützte SaaS-Plattform, die mittelständischen Unternehmen hilft, genau die richtigen Aufträge zu finden.</p>
<p>Unser Team ist klein, unser Wachstum stark. Als Werkstudent:in arbeitest du direkt mit der Marketingleitung zusammen und baust den Wachstum",1777473034,https://www.arbeitnow.com/jobs/companies/ciconia-systems-gmbh/digital-marketing-content-werkstudentin-100-remote-mannheim-442319,Arbeitnow
it-systemadministrator-bingen-471961,It-Systemadministrator (M/W/D),Reh Kendermann GmbH Weinkellerei,Bingen,,CDI,Non précisé,Non précisé,System and Network Administration,System and Network Administration,"<p>Die Reh Kendermann GmbH Weinkellerei ist eine der größten und modernsten Weinkellereien in Deutschland, gleichermaßen bekannt für hochwertige Markenweine und Premium-Eigenmarken. Zur Realisierung unserer zukünftigen Ziele in Deutschland suchen wir an unserem Standort in Bingen zum nächstmöglichen Zeitpunkt in Vollzeit eine*n</p>
<p><strong>IT- Systemadministrator*in</strong><br>
(m/w/d)</p>
<h2>Aufgaben</h2>
<ul>
<li>Überwachung, Betreuung und Optimierung der internen IT-Infrastruktur</li>
<l",1777473033,https://www.arbeitnow.com/jobs/companies/reh-kendermann-gmbh-weinkellerei/it-systemadministrator-bingen-471961,Arbeitnow
finanzbuchhalter-berlin-368148,Finanzbuchhalter (M/W/D),Alte Försterei /1. FC Union Berlin e.V.,Berlin,,CDI,Non précisé,Non précisé,Finance,Finance,"<h2>Aufgaben</h2>
<p>DEINE AUFGABEN:</p>
<ul>
<li>Debitoren-, Kreditoren- und Sachkontenbuchhaltung einschließlich Stammdatenpflege, Rechnungslegung, Verbuchen und Abstimmen</li>
<li>Anlagenbuchhaltung</li>
<li>Bearbeitung von Reisekosten- und Auslagenerstattungen</li>
<li>Importieren und Buchen der Kassen- und Bankbewegungen</li>
<li>Erstellung von Auswertungen und Statistiken</li>
<li>Schriftverkehr mit Auftraggebern, Kunden, Lieferanten sowie Behörden und Verbänden</li>
<li>Mitwirkung bei Mon",1777471263,https://www.arbeitnow.com/jobs/companies/alte-forsterei-1-fc-union-berlin-ev/finanzbuchhalter-berlin-368148,Arbeitnow
working-student-it-berlin-404870,Working Student - It (M/W/D),ABSORA GmbH,Berlin,,CDI,Non précisé,Non précisé,IT,IT,"<p>We are ABSORA – a deep-green tech startup in Berlin whose technologies are rewriting the rules of the game for noise and vibration control. Our HSA3 material isn't just a promise for the future – it's a revolution in lightweight construction, acoustics, and filtration: light, incredibly strong, and acoustically brilliant, as it absorbs airborne sound and vibrations. It's also inexpensive to produce and extremely environmentally friendly. This protects health, the environment, and your peace o",1777471263,https://www.arbeitnow.com/jobs/companies/absora-gmbh/working-student-it-berlin-404870,Arbeitnow
