id,titre,entreprise,ville,code_postal,contrat,salaire,experience,competences,competences_extraites,description,date_publication,url,source
2129657141,Lead Security Engineer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/lead-security-engineer-at-epam-systems-4406094038,LinkedIn
2129657118,Kubernetes Platform Engineer - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/kubernetes-platform-engineer-remote-work-at-bairesdev-4407012298,LinkedIn
2129657114,Junior Data Specialist,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/junior-data-specialist-at-coderslab-4406087332,LinkedIn
2129657108,Principal Software Engineer - Vector Search - Elasticsearch,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://no.linkedin.com/jobs/view/principal-software-engineer-vector-search-elasticsearch-at-elastic-4383767550,LinkedIn
2129657106,Ingeniero Devops,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/ingeniero-devops-at-sii-group-chile-4408295765,LinkedIn
2129657098,Implementation & Customer Success Specialist B2B Saas | Mining / Fifo Operations,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/implementation-customer-success-specialist-b2b-saas-mining-fifo-operations-at-emma-of-torre-ai-4408260789,LinkedIn
2129657070,Chemistry & Python Expert - Freelance Ai Trainer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/chemistry-python-expert-freelance-ai-trainer-at-mindrift-4408264071,LinkedIn
2129657060,Customer Service Representative,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://no.linkedin.com/jobs/view/customer-service-representative-at-devloit-4408246819,LinkedIn
2129657036,Data Science | Mlops & Analytics,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/data-science-mlops-analytics-at-atcom-chile-4408259614,LinkedIn
2129657030,Llm Engineer (Remote),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/llm-engineer-remote-at-quik-hire-staffing-4408503757,LinkedIn
2129657023,Mathematics & Python Expert - Freelance Ai Trainer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/mathematics-python-expert-freelance-ai-trainer-at-mindrift-4408504153,LinkedIn
2129657015,Robot Reliability Engineer - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/robot-reliability-engineer-remote-work-at-bairesdev-4407028137,LinkedIn
2129657010,Golang Backend Engineer - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/golang-backend-engineer-remote-work-at-bairesdev-4406984933,LinkedIn
2129656997,Senior Microsoft 365 Engineer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/senior-microsoft-365-engineer-at-epam-systems-4406078360,LinkedIn
2129656993,Senior Data Engineer (Databricks) - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/senior-data-engineer-databricks-remote-work-at-bairesdev-4407025743,LinkedIn
2129656987,Data Engineer (Snowflake) - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/data-engineer-snowflake-remote-work-at-bairesdev-4406992484,LinkedIn
2129656984,Gcp Data Engineer - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/gcp-data-engineer-remote-work-at-bairesdev-4406987707,LinkedIn
2129656982,Chief Data Engineer (Salesforce Tableau),Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/chief-data-engineer-salesforce-tableau-at-epam-systems-4406066794,LinkedIn
2129656963,Salgsrådgiver Nysalg – It Og Mobil,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://no.linkedin.com/jobs/view/salgsr%C3%A5dgiver-nysalg-%E2%80%93-it-og-mobil-at-cloudahead-4408500174,LinkedIn
2129656962,Full-Stack Developer (Python + React) - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/full-stack-developer-python-%2B-react-remote-work-at-bairesdev-4406995426,LinkedIn
2129656971,Programa De Desarollo - Responsable De Oficina (M/F/D) - Movilidad Nacional,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://es.linkedin.com/jobs/view/programa-de-desarollo-responsable-de-oficina-m-f-d-movilidad-nacional-at-sixt-4406087264,LinkedIn
2129656921,Senior Frontend Engineer,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/senior-frontend-engineer-at-dualentry-4406088364,LinkedIn
2129656899,Java Cloud Platform Engineer - Remote Work,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/java-cloud-platform-engineer-remote-work-at-bairesdev-4407004356,LinkedIn
2129656885,Desarrollador Fullstack - Ia Generativa & Llms,Non précisé,Non précisé,,Non précisé,Non précisé,Non précisé,,,,,https://cl.linkedin.com/jobs/view/desarrollador-fullstack-ia-generativa-llms-at-nisum-4408501570,LinkedIn
